"Compound","Dose","Cell line","DepMap ID","Culture","Pool","Vehicle","log2 fold-change","Viability"
"AZ-628","10.0","PSN1_PANCREAS","ACH-000320","PR500","P105","DMSO","-4.60","0.0411"
"AZ-628","3.333","PSN1_PANCREAS","ACH-000320","PR500","P105","DMSO","-4.61","0.0411"
"AZ-628","10.0","ICC12_BILIARY_TRACT","ACH-001838","PR300","P125","DMSO","-4.20","0.0545"
"AZ-628","10.0","WM88_SKIN","ACH-000899","PR500","P117","DMSO","-4.18","0.0552"
"AZ-628","10.0","YD38_UPPER_AERODIGESTIVE_TRACT","ACH-000762","PR500","P102","DMSO","-4.13","0.0573"
"AZ-628","1.111","LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000301","PR300","P950.PRN.2","DMSO","-4.12","0.0573"
"AZ-628","10.0","COLO679_SKIN","ACH-000805","PR500","P108","DMSO","-4.01","0.062"
"AZ-628","1.111","PSN1_PANCREAS","ACH-000320","PR500","P105","DMSO","-3.82","0.0707"
"AZ-628","10.0","SH4_SKIN","ACH-000441","PR500","P111","DMSO","-3.80","0.0717"
"AZ-628","1.111","OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000113","PR300","P951.PRN.2","DMSO","-3.79","0.0723"
"AZ-628","3.333","WM88_SKIN","ACH-000899","PR500","P117","DMSO","-3.79","0.0724"
"AZ-628","3.333","LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000301","PR300","P950.PRN.2","DMSO","-3.79","0.0725"
"AZ-628","3.333","BICR78_UPPER_AERODIGESTIVE_TRACT","ACH-001332","PR300","P123","DMSO","-3.75","0.0742"
"AZ-628","10.0","EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000198","PR300","P955.PRN.2","DMSO","-3.74","0.0746"
"AZ-628","10.0","BICR78_UPPER_AERODIGESTIVE_TRACT","ACH-001332","PR300","P123","DMSO","-3.73","0.0753"
"AZ-628","10.0","OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000113","PR300","P951.PRN.2","DMSO","-3.59","0.0829"
"AZ-628","3.333","ICC12_BILIARY_TRACT","ACH-001838","PR300","P125","DMSO","-3.57","0.0845"
"AZ-628","10.0","SKMEL30_SKIN","ACH-000810","PR500","P114","DMSO","-3.55","0.0851"
"AZ-628","10.0","LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000301","PR300","P950.PRN.2","DMSO","-3.55","0.0856"
"AZ-628","3.333","OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000113","PR300","P951.PRN.2","DMSO","-3.54","0.0858"
"AZ-628","10.0","ONS76_CENTRAL_NERVOUS_SYSTEM","ACH-000776","PR300","P945.PRN3","DMSO","-3.52","0.087"
"AZ-628","10.0","DU4475_BREAST","ACH-000258","PR300","P952.PRN.2","DMSO","-3.52","0.0874"
"AZ-628","10.0","UMUC6_URINARY_TRACT","ACH-001414","PR300","P121","DMSO","-3.51","0.0875"
"AZ-628","3.333","C32_SKIN","ACH-000580","PR300","P948.PRN3","DMSO","-3.50","0.0885"
"AZ-628","10.0","HEP3B217_LIVER","ACH-000625","PR500","P113","DMSO","-3.44","0.0919"
"AZ-628","10.0","SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001656","PR300","P954.PRN.2","DMSO","-3.44","0.0921"
"AZ-628","10.0","IPC298_SKIN","ACH-000915","PR500","P118","DMSO","-3.43","0.0925"
"AZ-628","10.0","KU1919_URINARY_TRACT","ACH-000486","PR500","P104","DMSO","-3.43","0.0926"
"AZ-628","3.333","MALME3M_SKIN","ACH-000477","PR500","P120","DMSO","-3.43","0.0926"
"AZ-628","10.0","MON_SOFT_TISSUE","ACH-001128","PR300","P944.PRN3","DMSO","-3.41","0.0942"
