Title,Author,Link,Poster Link,Presentation Link,Year,Conference,Featured
Identification of a predictive biomarker for liposomal nanoparticle delivery through pan-cancer pooled screening,Straehla JP,https://aacrjournals.org/cancerres/article/82/12_Supplement/293/701021/Abstract-293-Identification-of-a-predictive,,,2022,AACR,
Targeting the immune checkpoint PTPN2 with ABBV-CLS-484 inflames the tumor microenvironment and unleashes potent CD8+ T cell immunity,Iracheta-Vellve A,https://aacrjournals.org/cancerres/article/82/12_Supplement/606/700966/Abstract-606-Targeting-the-immune-checkpoint-PTPN2,,,2022,AACR,
Large scale viability screening with PRISM underscores non-inhibitory properties of small molecules,De Waal L,https://aacrjournals.org/cancerres/article/82/12_Supplement/1883/702646/Abstract-1883-Large-scale-viability-screening-with,,,2022,AACR,
Small molecule targeting the lipoic acid post-translational modification impacts proliferation of colorectal and PIK3CA-mutant cell lines,Doherty L,https://aacrjournals.org/cancerres/article/82/12_Supplement/2682/699867/Abstract-2682-Small-molecule-targeting-the-lipoic,,,2022,AACR,
Discovery of potent and selective CSNK1A1 inhibitors for solid tumor therapy,Corsello SM,https://aacrjournals.org/cancerres/article/82/12_Supplement/3588/702329/Abstract-3588-Discovery-of-potent-and-selective,,,2022,AACR,
Discovery and preclinical characterization of novel small molecule inhibitors of kinesin KIF18A motor protein with potent activity against chromosomally unstable cancers,Sun J,https://aacrjournals.org/cancerres/article/82/12_Supplement/LB202/704689/Abstract-LB202-Discovery-and-preclinical,,,2022,AACR,
Systematic profiling of conditional pathway activation as a new class of cancer dependency,Chang L,https://aacrjournals.org/cancerres/article/83/7_Supplement/1175/721604/Abstract-1175-Systematic-profiling-of-conditional,,,2023,AACR,
ANJ810 is a highly selective novel MCL1 inhibitor with optimized in vivo clearance showing robust efficacy in preclinical solid and hematological tumor models,Rauh U,https://aacrjournals.org/cancerres/article/83/7_Supplement/506/722630/Abstract-506-ANJ810-is-a-highly-selective-novel,,,2023,AACR,
"Discovery and preclinical characterization of AMG 650, a first-in-class inhibitor of kinesin KIF18A motor protein with potent activity against chromosomally unstable cancers",Belmontes B,https://aacrjournals.org/cancerres/article/83/7_Supplement/516/724129/Abstract-516-Discovery-and-preclinical,,,2023,AACR,
A small-molecule inhibitor of WRN selectively kills MSI-H cancer cells and phenocopies WRN genetic defects,Rao Y,https://aacrjournals.org/cancerres/article/83/7_Supplement/1628/723602/Abstract-1628-A-small-molecule-inhibitor-of-WRN,,,2023,AACR,
Towards the next generation cancer dependency map,Wienand K,https://aacrjournals.org/cancerres/article/83/8_Supplement/LB074/725540/Abstract-LB074-Towards-the-next-generation-cancer,,,2023,AACR,
Identifying therapeutic mechanism of action and new potential patient populations using PRISM,Nguyen E,https://aacrjournals.org/cancerres/article/83/7_Supplement/2748/721906/Abstract-2748-Identifying-therapeutic-mechanism-of,,,2023,AACR,
Expanding PRISM high-throughput screening capabilities to other modalities,Smigiel J,https://aacrjournals.org/cancerres/article/83/7_Supplement/2758/722094/Abstract-2758-Expanding-PRISM-high-throughput,,,2023,AACR,
AACR NOC EORTC 2023: PRISM high-throughput screening of antibody-drug conjugates uncovers clinically relevant targets,Eskra J,https://aacrjournals.org/mct/article/22/12_Supplement/PR004/730847/Abstract-PR004-PRISM-high-throughput-screening-of,https://assets.clue.io/aacr/posters/AACR-NOC-EORTC-2023.pdf,,2023,AACR,
Creating a living public oncology drug resource using PRISM cell line viability screening,Rees MG,https://www.abstractsonline.com/pp8/#!/20272/presentation/9571,https://assets.clue.io/aacr/posters/2024_OncRef_Poster_AACR.pdf,,2024,AACR,
Assessing cancer drug combination efficacy across 900+ PRISM cell lines in a multiplexed screening assay,George AB,https://www.abstractsonline.com/pp8/#!/20272/presentation/6313,https://assets.clue.io/aacr/posters/2024_Combinations_Poster_AACR.pdf,,2024,AACR,
Optimizing 500 pooled PRISM cell lines for a 10-day assay to elucidate viability effects and mechanism of action for slower-acting therapeutics,Ip BC,https://www.abstractsonline.com/pp8/#!/20272/presentation/6464,https://assets.clue.io/aacr/posters/2024_Extended_Day_Assay_Poster_AACR.pdf,,2024,AACR,
EWS-FLI1-driven upregulation of UGT3A2 unlocks drug sensitivity pathway in Ewing sarcoma,Olaoye O,https://www.abstractsonline.com/pp8/#!/20272/presentation/9778,,,2024,AACR,
KRASmulti inhibitor BI 3706674 shows efficacy in KRAS-driven preclinical models of cancer that supports clinical testing in patients with tumors harbouring KRASG12V mutations and KRAS wild-type amplifications,Tedeschi A,https://www.abstractsonline.com/pp8/#!/20272/presentation/5620,,,2024,AACR,
SOS1 inhibitor treatment improves response to Venetoclax in acute myeloid leukemia,Kostyrko K,https://www.abstractsonline.com/pp8/#!/20272/presentation/1508,,,2024,AACR,
Novel WRN helicase inhibitors selectively target microsatellite unstable cancer cells,Picco G,https://www.abstractsonline.com/pp8/#!/20272/presentation/5663,,,2024,AACR,
Identifying cancer vulnerabilities associated with changes in chromatin accessibility by simultaneously profiling hundreds of cancer cell lines with ATAC-seq,Borck P,https://www.abstractsonline.com/pp8/#!/20272/presentation/11334,,,2024,AACR,
p300 catalytic inhibition selectively targets IRF4 oncogenic activity in multiple myeloma,McKeown MR,https://aacrjournals.org/cancerres/article/84/6_Supplement/1691/736636/Abstract-1691-p300-catalytic-inhibition,,,2024,AACR,
A cellular platform for systematic comparison of RAS inhibitors using PRISM multiplexed screening,Rees MG,https://aacrjournals.org/cancerres/article/85/8_Supplement_1/6763/759800/Abstract-6763-A-cellular-platform-for-systematic,https://assets.clue.io/aacr/posters/2025_AACR/2025_AACR_RASi_Poster.pdf,,2025,AACR,
PRISM cancer cell viability profiling enables insights into clinical candidate target selectivity: A case study revealing the most selective PRMT5 inhibitors for cancers with MTAP loss,Doherty L,https://aacrjournals.org/cancerres/article/85/8_Supplement_1/4228/757768/Abstract-4228-PRISM-cancer-cell-viability,https://assets.clue.io/aacr/posters/2025_AACR/2025_AACR_PRMT5_Poster.pdf,,2025,AACR,
