Team Member,Title
Jennifer Roth,Director
Matthew Rees,Associate Director
Melissa Ronan,"Senior Manager, PRISM Production"
Anthony Fazio,Research Associate III
Anya Buchovecky,Research Associate I
Ashish Bino George,Computational Scientist II
Bailey Porter,Project Manager
Jacob Asiedu,"Associate Director, Software"
Jill Eskra,Research Scientist II
John Davis,Senior Analytics & Pipeline Engineer
Laura Doherty,Senior Research Scientist I
Li Wang,Technical Lead I
Lia Petronio,Data Visualization Engineer II
Linda Pham,Research Associate II
Maggie LeMaitre,Project Manager
Maha Naim,Software Engineer II
Matt Spaziani,Senior Bioautomation Engineer
Mustafa Kocak,Senior Computational Scientist I
Patricio Boy,Research Associate I
Tenzin Sangpo,Laboratory Manager II
YuhJong Liu,Computational Associate II
